40	90	4	1.010168570472321e+18
40	90	5	1.0701126099719291e+18
40	110	1	7.919074202546207e+17
40	110	2	1.086524575811286e+18
40	110	3	1.0216485960163297e+18
40	110	4	1.0814210395909868e+18
40	110	5	1.1050110555998444e+18
40	130	1	8.629430722680607e+17
40	130	2	1.1762469855889848e+18
40	130	3	1.1295000521925274e+18
40	130	4	1.1593201044863785e+18
40	130	5	1.2391584997736376e+18
40	150	1	9.240973257807729e+17
40	150	2	1.259550958266153e+18
40	150	3	1.213663411450113e+18
40	150	4	1.2339118880292495e+18
40	150	5	1.3453489013652193e+18
40	170	1	9.611716203847752e+17
40	170	2	1.302033800765783e+18
40	170	3	1.2543577741932872e+18
40	170	4	1.265556356194132e+18
40	170	5	1.4013151582049434e+18
160	10	1	1.4365283449100718e+18
160	10	2	2.002744608548438e+18
160	10	3	2.0318456807720632e+18
160	10	4	1.996186879055489e+18
160	10	5	2.171909944153861e+18
160	30	1	1.3707961086765148e+18
160	30	2	1.9401975162681006e+18
160	30	3	1.9515371040583854e+18
160	30	4	1.9328595796547594e+18
160	30	5	2.0997234591588137e+18
160	50	1	1.2696007972715377e+18
160	50	2	1.8008347581580943e+18
160	50	3	1.8039126796249027e+18
160	50	4	1.8023229720198994e+18
160	50	5	1.9400500765965445e+18
160	70	1	1.2039187328143442e+18
160	70	2	1.6592171115922995e+18
160	70	3	1.6609929599186053e+18
160	70	4	1.683043762496427e+18
160	70	5	1.779945968858279e+18
160	90	1	1.1821578559876864e+18
160	90	2	1.6154997815794248e+18
160	90	3	1.591830193697232e+18
160	90	4	1.620423271974014e+18
160	90	5	1.7449697091264133e+18
160	110	1	1.1999035776284846e+18
160	110	2	1.6708743336395725e+18
160	110	3	1.6142251600532992e+18
160	110	4	1.651875785048359e+18
160	110	5	1.7812790141104865e+18
160	130	1	1.2700124237841582e+18
160	130	2	1.8111085847687168e+18
160	130	3	1.7402354084676352e+18
160	130	4	1.7735384274996726e+18
160	130	5	1.932235281321392e+18
160	150	1	1.3660826384770335e+18
160	150	2	1.9474707772967383e+18
160	150	3	1.8724802921956168e+18
160	150	4	1.8968306378806385e+18
160	150	5	2.1123251132318812e+18
160	170	1	1.4295078635285699e+18
160	170	2	2.0148145391322982e+18
160	170	3	1.9326344576322488e+18
160	170	4	1.9526088235399813e+18
160	170	5	2.205832614323156e+18
